label,t_l,t_x
Rest,3151,1747.5
Push-off,706,4536.0
Rest,706,48271.0
Wall touch,1814,46896.0
Underwater glide,783,5376.5
Underwater kick,611,6149.5
Underwater kick,707,6999.5
Underwater kick,802,7907.0
Underwater kick,840,8881.0
Breaststroke,1834,10313.0
Breaststroke,2082,13054.0
Breaststroke,1891,15498.5
Breaststroke,2043,18095.5
Breaststroke,2062,20970.0
Breaststroke,2101,23777.5
Breaststroke,2024,26566.0
Breaststroke,2330,29335.0
Breaststroke,2062,32276.0
Breaststroke,2025,35236.5
Breaststroke,2177,38024.5
Breaststroke,2254,40813.0
Breaststroke,2063,44040.5
