label,t_l,t_x
Rest,3590,1910.0
Push-off,611,5099.5
Rest,650,50114.0
Wall touch,1336,48739.0
Underwater glide,688,5806.0
Underwater kick,459,6455.5
Underwater kick,649,7085.5
Underwater kick,649,7811.5
Underwater kick,764,8652.0
Backstroke,2884,11450.0
Backstroke,2444,14305.0
Backstroke,2483,17016.5
Backstroke,2616,19738.0
Backstroke,2559,22555.5
Backstroke,2750,25420.0
Backstroke,2674,28285.0
Backstroke,2712,31226.0
Backstroke,2712,34129.0
Backstroke,2693,37022.5
Backstroke,2693,39867.5
Backstroke,2636,42742.0
Backstroke,2998,45731.0
