label,t_l,t_x
Rest,1412,803.0
Rest,2006,2626.0
Rest,1069,39437.5
Push-off,439,4363.5
Underwater glide,1318,5319.0
Underwater kick,496,6283.0
Underwater kick,630,6942.0
Underwater kick,668,7687.0
Underwater kick,707,8450.5
Butterfly,1509,10303.5
Butterfly,1757,12012.5
Butterfly,1623,13817.5
Butterfly,1681,15717.5
Butterfly,1661,17560.5
Butterfly,1604,19480.0
Butterfly,1757,21313.5
Butterfly,1662,23233.0
Butterfly,1680,25095.0
Butterfly,1662,26976.0
Butterfly,1758,28819.0
Butterfly,1719,30671.5
Butterfly,1757,32524.5
Butterfly,1737,34443.5
Butterfly,1738,36353.0
Wall touch,1108,38196.0
Underwater kick,554,9138.0
