timestamp,x,y,z
1752065708976,4.222734,-3.3870404,8.590233
1752065708995,4.2131624,-3.406183,8.451449
1752065709014,4.2801614,-3.2434711,8.465807
1752065709033,4.2705903,-3.4253256,8.379665
1752065709052,4.217948,-3.4540396,8.384451
1752065709071,4.1988053,-3.2434711,8.508878
1752065709090,4.2275195,-3.2004004,8.5423765
1752065709109,4.275376,-3.229114,8.432307
1752065709128,4.2370906,-3.2004004,8.46102
1752065709148,4.2945185,-3.3200414,8.446664
1752065709167,4.256233,-3.2769706,8.446664
1752065709186,4.2275195,-3.1142588,8.46102
1752065709205,4.2514477,-3.162115,8.441878
1752065709224,4.256233,-3.205186,8.484949
1752065709243,4.217948,-3.2673993,8.4705925
1752065709262,4.232305,-3.286542,8.437093
1752065709281,4.217948,-3.2530425,8.518449
1752065709300,4.2275195,-3.162115,8.504091
1752065709319,4.2275195,-3.1669009,8.590233
1752065709339,4.241876,-3.1573296,8.590233
1752065709358,4.232305,-3.1334012,8.571091
1752065709377,4.241876,-3.1812577,8.49452
1752065709396,4.2610188,-3.176472,8.5423765
1752065709415,4.246662,-3.2004004,8.547162
1752065709434,4.289733,-3.2147572,8.451449
1752065709453,4.356732,-3.2482567,8.394022
1752065709472,4.366303,-3.353541,8.4705925
1752065709491,4.2275195,-3.2769706,8.762517
1752065709510,3.8111682,-3.1190443,8.944371
1752065709529,3.667599,-3.1716864,8.939586
1752065709549,3.9212382,-3.367898,9.001799
1752065709568,3.949952,-3.5353954,8.863015
1752065709587,3.9451663,-3.2482567,9.035298
1752065709606,3.8207395,-3.2099717,8.920443
1752065709625,4.002594,-2.8701909,9.111869
1752065709644,4.246662,-2.5830522,9.513863
1752065709663,3.3038898,-2.1427727,8.652447
1752065709682,3.0406795,-2.7505496,8.082955
1752065709701,2.6626134,-3.229114,9.241081
1752065709720,1.3704891,-3.611966,10.336994
1752065709740,1.3704891,-4.7988057,9.504292
1752065709759,2.126621,-5.191229,8.063812
1752065709778,2.2127628,-4.526024,8.193025
1752065709797,1.9495523,-3.9421754,8.432307
1752065709816,2.2414765,-4.3728833,7.881958
1752065709835,2.6386852,-4.334598,7.4177504
1752065709854,2.8492537,-4.109673,7.1306114
1752065709873,3.1028929,-3.6693935,6.0155563
1752065709892,3.3661032,-2.9850461,5.312066
1752065709911,3.3565319,-2.6165516,5.3312087
1752065709931,3.045465,-3.0089746,5.426922
1752065709950,2.925824,-3.7268212,5.709275
1752065709969,3.098107,-3.879962,6.15434
1752065709988,3.423531,-4.01396,6.6711893
1752065710007,3.3086755,-4.1958146,7.1066833
1752065710026,2.9832516,-4.3968115,7.513463
1752065710045,2.4711876,-5.0572305,7.944171
1752065710064,1.939981,-5.8947186,8.336594
1752065710083,1.7102699,-6.1914287,8.590233
1752065710102,1.5762719,-6.2105713,8.882157
1752065710122,1.4709877,-6.3493547,8.886943
1752065710141,1.4039887,-6.593423,8.79123
1752065710160,1.5140585,-6.430711,8.776874
1752065710179,1.4853446,-6.3828545,8.9108715
1752065710198,1.4087744,-6.239285,8.618947
1752065710217,1.317847,-6.0191455,8.322237
1752065710236,1.1647065,-5.6554365,8.370093
1752065710255,0.9924232,-5.779863,8.800801
1752065710274,1.0594223,-6.1435723,9.475577
1752065710293,0.57607204,-6.3110695,9.74836
1752065710313,0.66699934,-6.9092755,9.145369
1752065710332,0.76749784,-6.3493547,8.906086
1752065710351,0.32243285,-6.134001,8.690732
1752065710370,0.57607204,-6.1387863,7.987242
1752065710389,0.42771706,-5.5980086,7.9920278
1752065710408,0.19800608,-5.186443,7.800602
1752065710427,0.27936205,-4.9806604,7.4943204
1752065710446,0.25543383,-4.822734,7.623533
1752065710465,-0.02213361,-4.880162,7.800602
1752065710484,-0.26141587,-4.9902315,8.04467
1752065710503,-0.47676992,-5.2534423,8.2456665
1752065710523,-0.8213364,-5.5070815,8.331808
1752065710542,-1.0941181,-5.7750773,8.49452
1752065710561,-1.4386846,-5.8133626,8.7673025
1752065710580,-1.7162521,-5.985646,8.9013
1752065710599,-1.9076779,-6.148358,8.891729
1752065710618,-2.0991037,-6.334998,8.815159
1752065710637,-2.3670998,-6.3589263,8.915657
1752065710656,-2.6255248,-6.09093,9.221938
1752065710675,-2.9270203,-5.9952173,9.312865
1752065710694,-3.1806595,-5.8277197,9.188439
1752065710714,-3.132803,-5.8947186,8.52802
1752065710733,-3.3864422,-5.851648,7.8053875
1752065710752,-3.778865,-5.621937,7.719246
1752065710771,-3.9607196,-5.4927244,7.795816
1752065710790,-4.2191443,-5.42094,7.9106717
1752065710809,-4.582854,-5.521438,7.752745
1752065710828,-4.8508496,-5.736792,7.2933235
1752065710847,-5.128417,-5.7607207,7.2119675
1752065710866,-5.3246284,-5.5740805,7.3363943
1752065710885,-5.2049875,-5.669793,7.2502527
1752065710905,-5.209773,-5.6171513,6.843473
1752065710924,-5.0997033,-5.736792,6.503692
1752065710943,-4.9896336,-5.7463636,6.6185474
1752065710962,-4.750351,-5.4687963,6.7669024
1752065710981,-4.482355,-5.258228,6.800402
1752065711000,-4.1760736,-5.229514,6.5228343
1752065711019,-3.8171504,-5.3300123,6.111269
1752065711038,-3.5826538,-5.4113684,5.953343
1752065711057,-3.5204403,-5.521438,6.2261243
1752065711076,-3.4630125,-5.5453663,6.570691
1752065711096,-3.2620156,-5.6506505,6.518049
1752065711115,-3.1136606,-5.8803616,6.273981
1752065711134,-2.9078777,-5.9042897,6.273981
1752065711153,-2.8169506,-5.8229337,6.3744793
1752065711172,-2.7643085,-5.933004,6.4558353
1752065711191,-2.769094,-6.2057858,6.556334
1752065711210,-2.8073792,-6.38764,6.7238317
1752065711229,-2.7547371,-6.296713,6.977471
1752065711248,-2.673381,-6.2727847,7.140183
1752065711267,-2.5154548,-6.282356,7.2263246
1752065711287,-2.525026,-6.3254266,7.283752
1752065711306,-2.6829524,-6.2440705,7.3746796
1752065711325,-2.9318058,-6.1627145,7.475178
1752065711344,-2.984448,-5.9904313,7.4416785
1752065711363,-2.9270203,-5.9138613,7.422536
1752065711382,-2.8313074,-5.918647,7.393822
1752065711401,-2.7786653,-5.9712887,7.446464
1752065711420,-2.769094,-6.000003,7.4416785
1752065711439,-2.6925237,-6.009574,7.446464
1752065711458,-2.5154548,-6.000003,7.3986077
1752065711477,-2.4628127,-6.0574307,7.355537
1752065711497,-2.4580271,-6.1005015,7.3459654
1752065711516,-2.3958137,-6.1244297,7.3172517
1752065711535,-2.3718855,-6.2201424,7.3268228
1752065711554,-2.3431716,-6.296713,7.2550383
1752065711573,-2.4197419,-6.4067826,7.164111
1752065711592,-2.4867408,-6.4737816,7.2023964
1752065711611,-2.4819553,-6.3972116,7.3986077
1752065711630,-2.5345974,-6.3254266,7.594819
1752065711649,-2.4532413,-6.2871413,7.60439
1752065711668,-2.352743,-6.363712,7.4129643
1752065711688,-2.242673,-6.373283,7.312466
1752065711707,-2.1852453,-6.296713,7.4943204
1752065711726,-2.108675,-6.3541408,7.5996046
1752065711745,-1.9746768,-6.4211397,7.628319
1752065711764,-1.8215362,-6.5407805,7.623533
1752065711783,-1.634896,-6.6077795,7.6953177
1752065711802,-1.5248263,-6.6221366,7.63789
1752065711821,-1.4386846,-6.593423,7.5230346
1752065711840,-1.3094722,-6.6077795,7.5469627
1752065711859,-1.2424731,-6.5886374,7.7001033
1752065711879,-1.1659029,-6.4737816,7.7814593
1752065711898,-1.07019,-6.344569,7.690532
1752065711917,-0.98883396,-6.2488565,7.676175
1752065711936,-0.89312106,-6.253642,7.690532
1752065711955,-0.8500503,-6.1675005,7.676175
1752065711974,-0.83090764,-6.134001,7.676175
1752065711993,-0.8596215,-6.2105713,7.7383885
1752065712012,-1.0271192,-6.430711,7.776674
1752065712031,-1.1946167,-6.593423,7.853244
1752065712050,-1.338186,-6.521638,7.8436728
1752065712070,-1.5439688,-6.5455666,7.800602
1752065712089,-2.0608184,-6.7034926,7.810173
1752065712108,-2.4867408,-6.9092755,7.8867435
1752065712127,-2.8121648,-7.0145597,7.881958
1752065712146,-3.065804,-7.1389866,8.015956
1752065712165,-3.2572298,-7.210771,8.149954
1752065712184,-3.3385859,-7.105487,8.068598
1752065712203,-3.5682967,-6.9762745,7.652247
1752065712222,-3.903292,-7.038488,7.3268228
1752065712241,-4.156931,-7.024131,7.3986077
1752065712261,-4.4775696,-6.9332037,7.743174
1752065712280,-4.822136,-6.8518476,7.743174
1752065712299,-5.0901318,-6.799206,7.489535
1752065712318,-5.3102717,-6.5982084,6.9678993
1752065712337,-5.468198,-6.512067,6.3457656
1752065712356,-5.358128,-6.3014984,6.0346985
1752065712375,-4.9609194,-5.899504,5.761917
1752065712394,-4.5302114,-5.6123657,5.7810597
1752065712413,-4.511069,-5.535795,5.6183476
1752065712432,-4.8652067,-5.6410794,5.111069
1752065712451,-4.855635,-5.1625147,4.4410787
1752065712471,-4.831707,-4.679165,3.8285162
1752065712490,-4.7599225,-4.1383867,3.397808
1752065712509,-4.434499,-3.0520453,3.5126636
1752065712528,-4.094718,-2.635694,3.5796626
1752065712547,-4.1330028,-3.0185459,3.6131623
1752065712566,-4.0325046,-3.1860433,3.6275191
1752065712585,-3.726223,-3.109473,3.0963125
1752065712604,-3.8458643,-2.7984061,2.5316064
1752065712623,-3.9224346,-2.4299114,2.4358935
1752065712642,-3.8171504,-1.9992033,2.4885356
1752065712662,-3.8697925,-1.989632,2.804388
1752065712681,-3.984648,-2.568695,2.8235307
1752065712700,-3.9415772,-2.774478,2.4933212
1752065712719,-4.228716,-2.4729822,2.5746772
1752065712738,-4.214359,-2.1667008,2.6321049
1752065712757,-3.8793638,-1.7694924,2.416751
1752065712776,-4.0707893,-1.8317057,1.875973
1752065712795,-3.903292,-2.2576282,2.2061825
1752065712814,-4.879564,-1.7407784,3.7328033
1752065712833,-6.6167526,-0.9942178,4.5415773
1752065712853,-6.760322,-0.28594232,4.354937
1752065712872,-6.9182487,-0.33379877,4.2927237
1752065712891,-7.420741,-1.0516455,2.885744
1752065712910,-7.583453,-1.166501,0.9379865
1752065712929,-8.52144,-2.2767708,0.49292147
1752065712948,-8.78465,-2.8175488,1.4117653
1752065712967,-10.2825575,-3.851248,1.3256238
1752065712986,-11.139188,-4.9232326,2.254039
1752065713005,-11.014761,-6.698707,3.3260236
1752065713024,-10.914262,-7.4979095,2.5220351
1752065713044,-11.813964,-8.94796,1.3543376
1752065713063,-12.761521,-12.479767,1.282553
1752065713082,-13.034303,-12.427124,1.7946169
1752065713101,-12.818949,-14.3365965,2.4119651
1752065713120,-12.603595,-16.456638,0.8470592
1752065713139,-12.172887,-16.346567,0.009571291
1752065713158,-11.340185,-16.896917,-1.0719845
1752065713177,-10.502697,-17.231913,-2.952743
1752065713196,-9.34457,-18.155542,-3.9864426
1752065713215,-9.090932,-17.988045,-3.8141594
1752065713235,-9.062218,-17.32284,-3.804588
1752065713254,-8.152945,-16.930416,-4.5320063
1752065713273,-6.5401826,-15.767505,-4.546363
1752065713292,-6.9134626,-14.58545,-3.842873
1752065713311,-4.7455654,-13.872389,-3.900301
1752065713330,-2.7882366,-13.834105,-4.7377887
1752065713349,-2.0703897,-13.379468,-4.618148
1752065713368,-1.5918252,-12.183057,-4.0390844
1752065713387,-1.3190435,-9.890733,-2.158326
1752065713406,-0.9026923,-7.6749787,-0.89491564
1752065713425,0.13579269,-4.942375,-1.3734802
1752065713445,0.84406817,0.8913264,-2.2444677
1752065713464,4.6295137,10.912468,-3.8572302
1752065713483,7.630113,19.397417,-1.1533405
1752065713502,6.1513486,17.559729,-0.07178468
1752065713521,5.9694943,18.033508,-2.120041
1752065713540,5.7541404,19.694126,-4.833502
1752065713559,6.687341,20.057837,-2.1104696
1752065713578,4.562515,16.875381,2.2492533
1752065713597,2.5860431,14.310276,3.8572302
1752065713616,2.179263,14.066208,5.828916
1752065713636,9.582657,11.802598,-2.4071796
1752065713655,7.563114,5.5716877,-6.762117
1752065713674,-0.82612205,-1.3531412,1.9716859
1752065713693,-1.1324034,11.850454,9.877572
1752065713712,5.476573,8.136793,5.1493545
1752065713731,-1.3429717,7.48116,9.882358
1752065713750,-7.6456666,4.7341995,9.30808
1752065713769,-8.554939,8.036295,10.8682
1752065713788,-7.4446692,7.2705917,10.30828
1752065713807,-5.5304112,8.534002,9.12144
1752065713827,-3.1567314,6.3421764,5.369494
1752065713846,-6.128617,10.48176,6.943971
1752065713865,-2.5585256,7.911868,5.4412785
1752065713884,-3.2476585,2.5519454,4.2352962
1752065713903,-2.391028,3.528217,7.288538
1752065713922,-4.788636,5.528617,9.427721
1752065713941,-3.0610185,5.605187,10.155139
1752065713960,-3.6831522,4.5714874,9.083155
1752065713979,-1.4195421,4.51406,7.982456
1752065713998,-3.0610185,5.7343993,7.834101
1752065714018,-1.6301104,4.638487,7.542177
1752065714037,-2.2522442,6.4666033,8.078169
1752065714056,-2.3001008,6.0119667,8.154739
1752065714075,-2.9126635,5.298906,6.647261
1752065714094,-2.0416758,5.332405,6.9726853
1752065714113,-2.2139592,5.160122,7.6139617
1752065714132,-1.4961123,5.552545,8.092526
1752065714151,-1.6731812,5.3036914,8.939586
1752065714170,-2.9222345,6.3421764,9.040084
1752065714189,-1.9986051,5.99761,7.432107
1752065714209,-1.6444674,5.3419766,8.2456665
1752065714228,-2.0464616,4.753342,8.700303
1752065714247,-1.4913267,5.1266227,6.910472
1752065714266,-1.4530416,5.4999027,7.460821
1752065714285,-1.2376875,5.432904,8.489735
1752065714304,-2.3958137,5.495117,9.212367
1752065714323,-2.0991037,6.7728844,9.332008
1752065714342,-1.2233306,5.619544,8.360522
1752065714361,-1.07019,5.6386867,8.260024
1752065714380,-1.5535401,6.4570317,9.427721
1752065714400,-1.0079765,7.4907312,9.542577
1752065714419,-1.8693926,6.413961,8.63809
1752065714438,-1.4626129,5.916254,7.786245
1752065714457,-1.0989038,4.3274198,8.130812
1752065714476,-0.6203393,4.9782677,8.370093
1752065714495,-2.4580271,6.227321,9.432507
1752065714514,0.2219343,6.849455,8.9108715
1752065714533,-1.9698912,6.303891,9.705289
1752065714552,-0.16570297,5.6243296,8.9013
1752065714571,-1.1467602,6.2321067,9.466006
1752065714590,-0.5772685,6.88774,8.906086
1752065714610,-0.8787641,6.859026,8.9013
1752065714629,-0.055633128,5.7200427,8.685946
1752065714648,-1.1611172,6.0693946,8.915657
1752065714667,-0.4001996,6.5479593,9.145369
1752065714686,-0.7543373,6.495317,9.446864
1752065714705,-0.20398813,6.131608,9.001799
