timestamp,x,y,z
1750849076259,4.581486E-4,-0.03924806,0.08735366
1750849076278,0.043218683,-0.035582874,0.06780599
1750849076297,0.055435978,-0.013591741,0.06902772
1750849076316,0.066431545,-0.0050396346,0.06658426
1750849076335,0.040775225,-0.0013744457,0.04092794
1750849076354,-0.074067354,0.014508039,0.028710645
1750849076373,-0.047189303,0.0035124724,0.0018325944
1750849076392,0.039553493,0.04138609,0.033597562
1750849076411,0.099418245,0.058490302,0.06169734
1750849076431,0.1348484,0.042607818,0.04214967
1750849076450,0.10063997,0.059712034,0.04092794
1750849076469,0.07131846,0.052381653,0.054366965
1750849076488,0.08964441,0.057268575,0.08124501
1750849076507,0.009010255,0.10980295,-0.07024945
1750849076526,-0.12171481,0.12079851,-0.27794346
1750849076545,-0.13515383,0.108581215,0.0018325944
1750849076564,-0.066736974,0.042607818,-0.102014415
1750849076583,-0.08506292,0.10613775,0.13988803
1750849076602,-0.17424917,-0.084452055,0.2498437
1750849076622,-0.30863944,0.13790272,0.1802051
1750849076641,-0.13637556,0.21487169,0.14477496
1750849076660,0.19104797,0.059712034,0.09346231
1750849076679,0.27412558,-0.110108376,0.1178969
1750849076698,0.09697478,-0.04657844,0.16554436
1750849076717,-0.3575086,0.16722423,0.21807873
1750849076736,-0.7191406,0.053603385,0.28038692
1750849076755,-0.8999565,-0.013591741,0.31948227
1750849076774,-0.8865175,0.107359484,0.4074468
1750849076793,-0.8144355,0.53252137,0.44532043
1750849076813,-0.9329432,1.0053307,0.6627883
1750849076832,-1.2615885,1.0517564,0.8374956
1750849076851,-1.7490586,1.15316,0.9315688
1750849076870,-2.0190609,1.257007,1.0574069
1750849076889,-2.0312781,1.2032509,1.2284491
1750849076908,-2.0166173,1.2362376,1.4080433
1750849076927,-2.1326816,1.4133884,1.5876375
1750849076946,-2.185216,1.3950624,1.7232496
1750849076965,-1.9799654,1.3657409,1.8112141
1750849076984,-1.6586506,1.4317143,1.9040655
1750849077004,-1.3739876,1.5331179,1.9981387
1750849077023,-1.2334887,1.5306745,2.082438
1750849077042,-1.3642138,1.5086833,2.2351542
1750849077061,-1.548695,1.5111268,2.3805401
1750849077080,-1.4375175,1.4818052,2.5637994
1750849077099,-1.1565198,1.4402665,2.6395466
1750849077118,-1.0685552,1.392619,2.6138904
1750849077137,-1.3165663,1.3852886,2.7128506
1750849077156,-1.4167482,1.3193152,2.7934847
1750849077175,-0.4027126,1.1824815,2.8154757
1750849077195,0.42073312,1.0346522,2.7262895
1750849077214,0.28634286,0.99922204,2.5943427
1750849077233,-0.19379686,1.0700824,2.4782784
1750849077252,-0.51388997,0.9772309,2.2693627
1750849077271,-1.1565198,0.8428407,2.114203
1750849077290,-2.1681118,0.70845044,1.9370522
1750849077309,-3.2945464,0.7817542,1.8600832
1750849077328,-4.2474957,0.88926643,1.9297218
1750849077347,-4.281704,0.8929316,1.9150611
1750849077366,-3.8101163,0.7695369,1.9419391
1750849077386,-3.3519678,0.74143714,1.9321653
1750849077405,-2.893819,0.7695369,2.0702207
1750849077424,-2.3196063,0.7658717,2.1215334
1750849077443,-1.9909611,0.79519325,2.1496332
1750849077462,-1.84191,0.81229746,2.273028
1750849077481,-1.7624977,0.80741054,2.3194535
1750849077500,-1.8064798,0.81229746,2.3793182
1750849077519,-1.977522,0.7707586,2.3976443
1750849077538,-2.2695153,0.71211565,2.385427
1750849077557,-2.5993824,0.7072287,2.40864
1750849077577,-2.7349944,0.674242,2.4550655
1750849077596,-2.6934555,0.7157808,2.440405
1750849077615,-2.528522,0.77442384,2.4281876
1750849077634,-2.3562582,0.7475458,2.3170102
1750849077653,-2.1595597,0.7451023,2.1972806
1750849077672,-1.8724532,0.76220655,2.0384557
1750849077691,-1.7405065,0.7939715,1.9052873
1750849077710,-1.6268857,0.85627973,1.7440189
1750849077729,-1.2176062,0.8611666,1.563203
1750849077748,-0.8901827,0.881936,1.4165955
1750849077768,-0.84009176,0.8037453,1.2101232
1750849077787,-0.88407403,0.67912894,1.0060943
1750849077806,-0.96715164,0.5557342,0.8985821
1750849077825,-1.1088723,0.4677697,0.8607085
1750849077844,-1.1919498,0.285732,0.76052666
1750849077863,-1.3788745,0.11713332,0.7153227
1750849077882,-1.8553491,0.015729768,0.70799226
1750849077901,-2.2695153,-0.09422589,0.61147565
1750849077920,-2.5126395,-0.15164718,0.61147565
1750849077939,-2.6910121,-0.14065161,0.6517927
1750849077959,-2.7447681,-0.18096869,0.5723803
1750849077978,-2.7716463,-0.22006404,0.5051852
1750849077997,-2.9341362,-0.26648977,0.4734202
1750849078016,-3.0954046,-0.29581127,0.40989026
1750849078035,-3.0648613,-0.3349066,0.24495678
1750849078054,-3.1760387,-0.37888888,0.06291907
1750849078073,-3.2273514,-0.43142325,-0.12400555
1750849078092,-3.337307,-0.48151416,-0.31459537
1750849078111,-3.4753625,-0.5694787,-0.5039635
1750849078130,-3.7514734,-0.62934345,-0.6860011
1750849078150,-4.275595,-0.6647736,-0.9731076
1750849078169,-4.9121165,-0.6488911,-1.273653
